Date,FII_lag5,Urban Inflation_lag3,Inflation_lag3,Steel_lag1,Urban CPI_lag1,NIFTY AUTO_lag6,CPI_lag1,ICPI,ASRS,IFD,RSVS,Profit
2018-09-30,-0.1471825686471329,0.4263736263736263,0.506872852233677,-0.6517749697238406,0.067001675041876,-0.176786688681303,0.0662251655629138,-0.6821437145424033,1.646039934306526,-4.405511568568993,-15.23810016010334,109.14
2018-12-31,0.128473814402424,0.3076923076923075,0.2972508591065292,-0.6255903075204621,0.083752093802345,-0.2023058895200855,0.0728476821192054,-0.3005119146304688,0.17018440203064208,-11.100143354295756,-1.5659181952333308,617.62
2019-03-31,-0.9476966448113108,0.0,0.0240549828178693,-0.7771857202768662,0.0770519262981572,-0.4565434843413637,0.0579470198675498,-0.4417315690873831,0.6190049981174125,-2.5359901487867917,0.0564148980224083,106.19
2019-06-30,-0.2732819843440441,0.2615384615384614,0.1529209621993126,-0.8584959871189372,0.1256281407035175,-0.537145982449254,0.0927152317880795,-0.4328538035201262,0.1733379206428755,-1.729480014308793,0.1828353323912292,-97.1
2019-09-30,0.3770168255671232,0.312087912087912,0.2079037800687285,-1.0238728010350144,0.1708542713567835,-0.7417086235451733,0.1423841059602648,-0.47142557778514715,0.024863684715709895,-3.2384475373642614,-0.1656911883960501,-1281.97
2019-12-31,-0.3917632234535315,0.4109890109890109,0.3470790378006873,-1.198896595762863,0.2177554438860971,-0.8342640153673996,0.2019867549668874,-0.4765942035643785,0.03578152328940621,-1.0873261283237399,-0.11394351825909968,-1039.51
2020-03-31,0.8065945469232692,1.0,0.9243986254295532,-1.143770991124171,0.2294807370184255,-0.933091267769772,0.2102649006622514,-0.524579150526912,-0.07208182115787048,-3.3142800841551376,0.042376503841290505,-4871.05
2020-06-30,-0.3268328410748363,0.5890109890109888,0.6649484536082474,-1.22094683761834,0.2780569514237854,-0.7614899809184238,0.2400662251655627,-0.4638679619394874,-0.029231478444037805,-0.49285984427675233,1.7225293568261077,-2190.64
2020-09-30,-0.71155578392218,0.7054945054945055,0.7319587628865979,-1.2636691812133265,0.3350083752093802,-1.5606977222362963,0.3029801324503309,-1.0200169013100715,-0.05391077156309179,-0.8093602684321323,10.962575786338824,-1212.45
2020-12-31,-0.0464150976581394,0.956043956043956,0.9106529209621992,-1.1162081888048243,0.3835845896147405,-1.1089760536042994,0.3725165562913908,-0.4920403492967409,1.0197687783200826,5.524326395725384,1.1964030502396807,-638.04
2021-03-31,0.236713731687921,0.5010989010989012,0.4501718213058419,-0.435406971516973,0.3768844221105527,-0.8387974798084833,0.334437086092715,-0.6291820581444172,1.397134883197526,-19.19763252800242,0.2808767097351737,1645.69
2021-06-30,0.4139870928188886,0.7934065934065931,0.6099656357388316,0.5582320520954579,0.4271356783919597,-0.5467014801809618,0.3973509933774832,7.361472882659677,-1.8119102635351363,-3.0607165233093534,0.29165703374814456,-1320.74
2021-09-30,0.1609189048619896,0.7604395604395603,0.7371134020618556,1.4213887695281038,0.4723618090452262,-0.394688395576301,0.4387417218543046,-0.3230574164092141,-0.6870361212736773,3.7014964889810016,0.05613674666703919,-659.33
2021-12-31,-0.7920365933785684,0.3648351648351647,0.4089347079037799,1.949119964135465,0.5293132328308205,-0.2270070215875441,0.5016556291390724,-0.4234237582719603,2.3418137376906105,3.996990696481827,-2.4166393306734166,175.85
2022-03-31,-0.9631113919629744,0.6571428571428571,0.634020618556701,1.414001938506519,0.5276381909547738,-0.2274387801057425,0.4917218543046355,3.89083012414905,-12.04212909617873,1.775613254787751,12.092266498929575,413.35
2022-06-30,-0.9345834312196996,0.7054945054945055,0.8556701030927835,1.8278436339303423,0.6164154103852599,-0.1505289535350762,0.584437086092715,-0.3328712386996687,-19.532005080010375,-0.49099173948301744,32.9866925642374,-181.03
2022-09-30,-0.4874828986759901,0.868131868131868,0.8659793814432989,1.1304633910474042,0.6549413735343386,-0.2379714155365311,0.6274834437086092,-0.5357768218443117,2.368652632818144,-3.8842301461619115,-21.258355194725027,-292.59
2022-12-31,0.5780316611619981,0.958241758241758,0.9347079037800686,0.4931011502148428,0.6867671691792294,0.0231402293771171,0.6639072847682117,-0.3333457768761855,-0.4020330110197759,6.827469490281689,-1.0834668237432687,506.19
2023-03-31,2.1751979607809635,0.545054945054945,0.6443298969072164,0.5584525545140121,0.6968174204355111,0.2499611582927937,0.6688741721854305,-0.4631688070061868,0.312839417280903,5.356908071123141,-1.5180128365362657,2695.56
2023-06-30,1.6955719348585598,0.6549450549450547,0.634020618556701,0.8809924672550014,0.7403685092127303,0.2300548181905916,0.7069536423841059,-0.5255200291758569,1.4457034615928075,5.843881997581086,-2.460899026829909,-64.04
2023-09-30,0.0971217011247614,0.4505494505494504,0.4982817869415807,0.5408812680354292,0.845896147403685,0.1464527345878488,0.8245033112582778,-0.2826810017812197,0.15888907688233178,-15.736111478452242,-0.37785122579047814,1269.64
2023-12-31,3.6826597285647695,0.3824175824175825,0.5240549828178693,0.3097396077853921,0.8408710217755444,0.8063274572565736,0.826158940397351,0.08460559545892779,0.060496337972947484,2.419333951268964,-0.4831060392581444,4570.05
2024-03-31,-7.126467510311046,0.5604395604395603,0.6391752577319588,0.725524480772729,0.8375209380234505,1.04191990133144,0.8178807947019866,-1.3036299488365997,0.2614164325082652,1.9537901838747802,-0.1977836255647473,2126.4
2024-06-30,-7.771118015153437,0.4109890109890109,0.5360824742268041,0.3042132659203631,0.8659966499162479,1.3526610517053734,0.8493377483443707,0.212860093239622,0.12730199567711808,2.528153105110065,-0.0482012476819697,2190.0
2024-09-30,-9.519992997481008,0.2703296703296701,0.4948453608247422,0.2276300196760594,0.9011725293132332,1.5949798390111214,0.8907284768211916,-0.2230770931409842,-0.1677032776426269,-1.0,-0.0887183243541604,477.0
2024-12-31,-8.967644106528843,0.2857142857142856,0.486254295532646,-0.0079630331485518,0.9614740368509214,1.7333584440937255,0.9569536423841054,-0.3953740271697458,0.033977431022327,1.088831853937478,-0.1180118107552629,1404.0
